"	brewery names	business type	address	city	zip	lat	long	yelp rating	number of yelp reviews",
"161	The Other Side	American (Traditional)	5090 Folsom Blvd	Sacramento	95819	38.5606468517138	-121.443885815904	4.0	183",
"162	Wolf Creek Restaurant	American (Traditional)	27746 McBean Pkwy	Santa Clarita	91354	34.445182	-118.551507	4.0	624",
"163	Berryessa Brewing Company	Breweries	27260 Hwy 128	Winters	95694	38.5146895206581	-122.002428792971	4.5	164",
"164	Brewery Twenty Five	Breweries	106 3rd St	San Juan Bautista	95045	36.843959	-121.535381	5.0	10",
"165	Brewheim Beer Makers	Breweries	1931 E Wright Cir	Anaheim	92806	33.8052760148	-117.890690248626	4.5	99",
"166	Mad River Brewing Company	Pubs	101 Taylor Way	Blue Lake	95525	40.8787348	-123.9920833	4.0	155",
"167	Brewing Reserve of California	Breweries	2930 College Ave	Costa Mesa	92626	33.67919	-117.91605	4.5	21",
"168	Everson Royce Bar	Bars	1936 E 7th St	Los Angeles	90021	34.03439	-118.232589	4.5	699",
"169	brewLAB	Breweries	4191 Carpinteria Ave	Carpinteria	93013	34.4039078	-119.5341339	4.5	44",
"170	B Street Public House	Gastropubs	117 Broadway St	Chico	95928	39.730336	-121.8416508	4.0	246",
"171	Brouwerij West	Breweries	110 E 22nd St	San Pedro	90731	33.7257694	-118.2802782	4.5	296",
"172	Bruery Terreux Tasting Room	Breweries	1174 N Grove St	Anaheim	92806	33.8575048	-117.8421334	4.5	231",
"173	The Bruery	Breweries	717 Dunn Way	Placentia	92870	33.8624287319832	-117.879275106287	4.5	957",
"174	Buffalo Bill's Brewery	American (Traditional)	1082 B St	Hayward	94541	37.67392	-122.08147	3.5	1468",
"175	Burgeon Beer Co	Breweries	6350 Yarrow Dr	Carlsbad	92011	33.1195646952615	-117.273261845112	4.5	155",
"176	Burnin Daylight Brewing	Breweries	24516 Narbonne Ave	Lomita	90717	33.8029046036583	-118.31973709166	4.5	46",
"177	Burning Barrel Brewing Company	Breweries	11210 Sun Center Dr	Rancho Cordova	95742	38.5976889	-121.266995	4.5	74",
"178	Burning Beard Brewing Company	Breweries	785 Vernon Way	El Cajon	92020	32.8117477630521	-116.972286134148	4.5	106",
"179	Calexico Brewing Company	Brewpubs	2320 M L King St	Calexico	92231	32.6908824288736	-115.492923147976	4.0	6",
"180	Faction Brewing	Breweries	2501 Monarch St	Alameda	94501	37.786577	-122.309303	4.5	482",
"181	Bottle Barn	Beer"," Wine & Spirits	3331 Industrial Dr	Santa Rosa	95403	38.476186	-122.740475	4.5	204"
"182	California Wild Ales	Breweries	4202 Sorrento Valley Blvd	San Diego	92121	32.90536	-117.21485	5.0	31",
"183	Campbell Brewing Company	Breweries	200 E Campbell Ave	Campbell	95008	37.28667	-121.94639	2.5	402",
"184	Modern Times DTLA Dankness Dojo	Brewpubs	832 S Olive St	Los Angeles	90014	34.0443911	-118.2576348	4.0	382",
"185	Crow Canyon Country Club	Country Clubs	711 Silver Lake Dr	Danville	94526	37.78583	-121.96242	4.0	64",
"186	Canyon Lakes Golf Course	Golf	640 Bollinger Canyon Way	San Ramon	94582	37.7707673113043	-121.949792318771	3.5	82",
"187	Captain Fatty's Brewery	Breweries	6489 Calle Real	Goleta	93117	34.439349	-119.851617	4.5	79",
"188	Carmel Craft Brewing Company	Breweries	Big Sur Barn 3777 The Barnyard	Carmel-by-the-Sea	93923	36.5404928	-121.9077938	5.0	19",
"189	Carmel Craft Brewing Company	Breweries	Big Sur Barn 3777 The Barnyard	Carmel-by-the-Sea	93923	36.5404928	-121.9077938	5.0	19",
"190	Casa Agria Specialty Ales	Breweries	701 N Del Norte Blvd	Oxnard	93030	34.207699	-119.128035	4.5	77",
"191	Catalina Island Brew House	Breweries	417 Crescent Ave	Avalon	90704	33.3434322362233	-118.325506187975	4.5	262",
"192	CAVU Brewery and Restaurant	Brewpubs	7536 Fay Ave	La Jolla	92037	32.8408331735077	-117.274399474869	4.0	118",
"193	Cedar Crest Brewing	Wine Bars	615 Main St	Red Bluff	96080	40.17674	-122.23474	4.5	19",
"194	Cellarmaker Brewing Company	Breweries	1150 Howard St	San Francisco	94103	37.777217	-122.410766	4.5	434",
"195	Central Coast Brewing	Breweries	1422 Monterey St	San Luis Obispo	93401	35.285846	-120.655711	4.5	235",
"196	Central Coast Brewing	Breweries	1422 Monterey St	San Luis Obispo	93401	35.285846	-120.655711	4.5	235",
"197	Channel Brewing Company	Breweries	110 N San Joaquin St	Stockton	95202	37.954521	-121.2873039	4.0	40",
"198	Chapman Crafted Beer	Breweries	123 N Cypress St	Orange	92866	33.7886085601538	-117.856072184024	4.5	124",
"199	Bootlegger's Brewery	Breweries	130 S Highland Ave	Fullerton	92832	33.86963	-117.92845	4.0	762",
"200	Chino Valley Brewery	Breweries	1609 S Grove Ave	Ontario	91761	34.0443303	-117.6272851	4.5	50",
"201	Chula Vista Brewery	Breweries	294 3rd Ave	Chula Vista	91910	32.641634049518	-117.080261819065	4.0	76",
"202	Circle 9 Brewing	Breweries	7292 Opportunity Rd	San Diego	92111	32.8254665	-117.160549	4.5	50",
"203	Cismontane Brewing Company	Breweries	1409 E Warner Ave	Santa Ana	92688	33.71638	-117.85177	4.0	119",
"204	Citizen Brewers	Breweries	5837 Mission Gorge Rd	San Diego	92120	32.7815593	-117.1008159	5.0	17",
"205	J & N Realty Property Management	Property Management	8800 Eton Ave	Canoga Park	91304	34.23015	-118.594563	3.5	66",
"206	Claimstake Brewing	Breweries	11366 Monier Park Pl	Rancho Cordova	95742	38.58213	-121.26083	4.5	115",
"207	Clandestine Brewing	Breweries	980 S First St	San Jose	95110	37.32158	-121.87872	4.5	66",
"208	Claremont Craft Ales	Beer"," Wine & Spirits	1420 N Claremont Blvd	Claremont	91711	34.1090511532196	-117.701891014214	4.5	272"
"209	Cleophus Quealy	Breweries	448 Hester St	San Leandro	94577	37.7221819	-122.1912972	4.5	132",
"210	Coachella Valley Brewing	Breweries	30640 Gunther St	Thousand Palms	92276	33.826594	-116.401405	4.0	156",
"211	Cold Water Brewery and Grill	American (New)	2544 Lake Tahoe Blvd	South Lake Tahoe	96150	38.925047	-119.986382	4.0	832",
"212	Common Space Brewery	Breweries	3411 W El Segundo Blvd	Hawthorne	90250	33.91695	-118.33343	4.5	105",
"213	Duke's Malibu	American (New)	21150 Pacific Coast Hwy	Malibu	90265	34.03644	-118.635889	4.0	2383",
"214	Congregation Ale House	Gastropubs	619 N Azusa Ave	Azusa	91702	34.13239	-117.90788	4.0	650",
"215	Home Brew Mart - Ballast Point	Breweries	5401 Linda Vista Rd	San Diego	92110	32.7667841646776	-117.195239067078	4.0	447",
"216	Cool Beerwerks	Hawaiian	5020 Ellinghouse Dr	Cool	95614	38.88645	-121.01405	4.0	136",
"217	Cooperage Brewing Company	Breweries	981 Airway Ct	Santa Rosa	95403	38.475267	-122.735473	4.5	139",
"218	Coronado Brewing Company	Breweries	875 Seacoast Dr	Imperial Beach	91932	32.5805081	-117.1315951	4.0	386",
"219	Coronado Brewing	Brewpubs	1205 Knoxville	San Diego	92110	32.7718593948984	-117.20468197827	4.5	289",
"220	Coronado Brewing Company	Breweries	875 Seacoast Dr	Imperial Beach	91932	32.5805081	-117.1315951	4.0	386",
"221	Corralitos Brewing Company	Breweries	2536 Freedom Blvd	Watsonville	95076	36.9499719616272	-121.793	4.5	75",
"222	Cosmic Brewery	Breweries	20316 Gramercy Pl	Torrance	90501	33.8462782792757	-118.311399109662	4.0	111",
"223	Craft Brewing Company - Lake Elsinore	Breweries	530 Crane St	Lake Elsinore	92530	33.68678	-117.33991	4.5	103",
"224	Craftsman Brewing Company	Breweries	1260 Lincoln Ave	Pasadena	91103	34.1677048	-118.1594351	4.5	39",
"225	Creative Creature Brewing Co.	Brewpubs	110 Magnolia Ave	El Cajon	92020	32.7955814650074	-116.96278642863	5.0	30",
"226	Crooked Goat Brewing	Brewpubs	120 Morris St	Sebastopol	95472	38.403931	-122.819689	4.5	184",
"227	Crooked Lane Brewing	Breweries	536 Grass Valley Hwy	Auburn	95603	38.9094390869141	-121.076393127441	4.5	136",
"228	Crown Auto Service	Auto Repair	2101 Pontius Ave	Los Angeles	90025	34.0414584276035	-118.439848423004	4.5	216",
"229	Culture Brewing Co - Solana Beach	Breweries	111 S Cedros Ave	Solana Beach	92075	32.9915933	-117.2707002	4.5	324",
"230	Culver Beer Company	Breweries	2719 W Loker Ave	Carlsbad	92010	33.132640838623	-117.258399963379	5.0	88",
